time (s),B_z (T)
5.8900000000000005e-08,-0.00011132261081235451
5.9e-08,-0.000119193359315814
5.91e-08,-0.0001271381533916474
5.92e-08,-0.0001269988588774803
5.93e-08,-0.0001304598499677285
5.94e-08,-0.00012671405976352865
5.9500000000000003e-08,-0.00012252265148315978
5.9600000000000004e-08,-0.00011922574846747262
5.97e-08,-0.00011649428350686348
5.98e-08,-0.00010511771604685904
5.99e-08,-0.00011098538129685453
6.000000000000001e-08,-0.00011023680963857695
6.01e-08,-0.0001018047771505149
6.02e-08,-9.26028007163216e-05
6.03e-08,-0.00010088855139488895
6.04e-08,-0.00010190746839037917
6.05e-08,-9.20984494297154e-05
6.06e-08,-8.789179767518991e-05
6.070000000000001e-08,-8.575276065540691e-05
6.08e-08,-8.630920533559129e-05
6.09e-08,-8.79358612857162e-05
6.1e-08,-8.519441416693599e-05
6.11e-08,-8.598105891658987e-05
6.12e-08,-8.540126692153803e-05
6.13e-08,-8.40425147068427e-05
6.140000000000001e-08,-8.75973843009072e-05
6.15e-08,-8.32797723544774e-05
6.16e-08,-6.357884016174103e-05
6.17e-08,-7.445376382036143e-05
6.18e-08,-7.161467182611839e-05
6.19e-08,-7.582499006903328e-05
6.2e-08,-7.133133178622985e-05
6.210000000000001e-08,-7.032007278969112e-05
6.22e-08,-6.468669994604814e-05
6.230000000000001e-08,-5.643062265439931e-05
6.24e-08,-5.462303343501302e-05
6.25e-08,-4.6748495844356406e-05
6.26e-08,-6.146472110403867e-05
6.27e-08,-5.055356633560572e-05
6.28e-08,-4.76216942623336e-05
6.29e-08,-4.0167871442500724e-05
6.300000000000001e-08,-4.7667957513023076e-05
6.31e-08,-5.257361547473891e-05
6.32e-08,-5.110542108222447e-05
6.33e-08,-5.0707248890965876e-05
6.34e-08,-4.836958648858395e-05
6.35e-08,-4.086511623910219e-05
6.36e-08,-5.1889847981124105e-05
6.370000000000001e-08,-4.5067204602163636e-05
6.38e-08,-4.4565145808700255e-05
6.39e-08,-4.544138109727488e-05
6.4e-08,-5.451599044676265e-05
6.41e-08,-5.0715866888237814e-05
6.42e-08,-6.58446967164848e-05
6.43e-08,-6.099061234753712e-05
6.440000000000001e-08,-7.00464367737945e-05
6.45e-08,-6.900327631265761e-05
6.46e-08,-6.908840475841278e-05
6.47e-08,-6.0827180574762105e-05
6.48e-08,-6.137888859182407e-05
6.49e-08,-6.52633131316879e-05
6.5e-08,-6.789462814531641e-05
6.510000000000001e-08,-5.897603536742885e-05
6.52e-08,-5.491622177421393e-05
6.53e-08,-5.6867087867057986e-05
6.54e-08,-5.783244839308544e-05
6.55e-08,-6.74058491541044e-05
6.56e-08,-6.421943930999766e-05
6.57e-08,-7.49767920904792e-05
6.580000000000001e-08,-6.936222046416799e-05
6.59e-08,-6.783911745947728e-05
6.600000000000001e-08,-5.170650502695998e-05
6.61e-08,-5.8316357242263246e-05
6.62e-08,-5.8400926680750015e-05
6.63e-08,-4.617434104652021e-05
6.64e-08,-3.799960806494623e-05
6.65e-08,-4.2130087998134405e-05
6.66e-08,-4.026050150591003e-05
6.670000000000001e-08,-3.984695523998252e-05
6.68e-08,-3.762456040478877e-05
6.69e-08,-4.177475707387157e-05
6.7e-08,-4.1937519075592894e-05
